Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","13/01/2021 01:22"
"Last updated:","13/01/2021 01:22"
"Last Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=Y0xt5n
"Data definitions",https://www.unhcr.org/refugee-statistics-2/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:
"Country of asylum::"
Year,"Country of origin","Country of asylum","Country of origin (ISO)","Country of asylum (ISO)","Female 0 — 4","Female 5 — 11","Female 12 — 17","Female 5 — 17","Female 18 — 59","Female 60",f_other,"Female total","Male 0 — 4","Male 5 — 11","Male 12 — 17","Male 5 — 17","Male 18 — 59","Male 60","Male total",m_other,Total
2010,Myanmar,Bangladesh,MMR,BGD,2469,5,5,,6250,298,,15016,2527,5,5,,5363,308,14210,,29226
2011,Myanmar,Bangladesh,MMR,BGD,2188,7,6,,6515,300,,15237,2180,5,5,,5580,313,14409,,29646
2012,Myanmar,Bangladesh,MMR,BGD,2364,3617,2833,,6717,331,,15862,2403,3718,2771,,5564,356,14812,,30674
2013,Myanmar,Bangladesh,MMR,BGD,2219,3768,2845,,7135,319,,16286,2328,3803,2775,,5587,356,14849,,31135
2014,Myanmar,Bangladesh,MMR,BGD,1985,3721,2703,,8206,418,,17033,2111,3825,2694,,6352,457,15439,,32472
2015,Myanmar,Bangladesh,MMR,BGD,1970,3737,2921,,7948,387,,16963,2164,3771,2882,,5745,423,14985,,31948
2016,Myanmar,Bangladesh,MMR,BGD,2118,3721,2941,,8436,381,,17597,2364,3713,3023,,6072,429,15601,,33198
2017,Myanmar,Bangladesh,MMR,BGD,72320,87153,54984,,187812,14112,,416381,74755,92312,55835,,147184,12687,382773,,799154
2018,Myanmar,Bangladesh,MMR,BGD,82740,99365,61259,,214255,15903,,473522,85552,104776,61846,,166832,14107,433113,,906635
2019,Myanmar,Bangladesh,MMR,BGD,79323,87875,57547,,203378,13421,,441544,82334,91660,60385,,162230,16611,413220,,854764
